agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
model_based,hard,22,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,22,caught,490,52,7.15,32,0,11,5,-530.4
utility_based,hard,22,caught,510,50,6.82,30,0,7,5,-510.0
learning,hard,22,caught,820,96,13.09,27,1,47,11,-221.2
greedy,hard,22,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,22,caught,100,13,1.87,63,0,3,3,-908.6
table_driven,hard,23,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,23,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,23,caught,560,57,7.81,29,0,13,0,-451.4
goal_based,hard,23,caught,520,56,7.59,29,0,12,6,-503.2
utility_based,hard,23,caught,870,102,13.86,2,0,31,9,-168.4
learning,hard,23,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,23,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,23,caught,130,18,2.53,60,0,5,5,-883.6
table_driven,hard,24,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,24,caught,130,13,1.87,60,0,0,0,-872.6
model_based,hard,24,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,24,caught,490,54,7.37,32,0,13,5,-530.8
utility_based,hard,24,caught,500,48,6.6,31,0,6,4,-517.6
learning,hard,24,caught,1120,70,9.45,17,2,14,6,94.0
greedy,hard,24,caught,130,13,1.87,60,0,0,0,-872.6
random,hard,24,caught,130,20,2.75,60,0,7,6,-886.0
table_driven,hard,25,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,25,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,25,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,25,caught,490,52,7.15,32,0,11,5,-530.4
utility_based,hard,25,caught,530,52,7.15,28,0,7,5,-490.4
learning,hard,25,caught,470,48,6.6,50,1,22,3,-545.6
greedy,hard,25,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,25,caught,130,21,2.86,60,0,8,6,-886.2
table_driven,hard,26,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,26,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,26,caught,560,56,7.59,29,0,12,0,-451.2
goal_based,hard,26,caught,490,57,7.81,32,0,16,5,-531.4
utility_based,hard,26,caught,500,48,6.6,31,0,6,4,-517.6
learning,hard,26,caught,820,79,10.78,23,1,26,4,-203.8
greedy,hard,26,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,26,caught,130,22,3.08,60,0,9,6,-886.4
table_driven,hard,27,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,27,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,27,caught,560,61,8.36,29,0,17,1,-454.2
goal_based,hard,27,win,1090,101,13.635,0,1,28,9,3051.8
utility_based,hard,27,caught,870,100,13.53,2,0,29,10,-170.0
learning,hard,27,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,27,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,27,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,hard,28,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,28,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,28,caught,560,57,7.81,29,0,13,0,-451.4
goal_based,hard,28,caught,1070,105,14.3,2,1,34,10,29.0
utility_based,hard,28,win,890,105,14.175,0,0,32,8,2853.0
learning,hard,28,caught,440,37,5.06,53,1,14,2,-571.4
greedy,hard,28,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,28,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,hard,29,caught,70,9,1.32,66,0,2,1,-933.8
simple_reflex,hard,29,caught,100,10,1.43,63,0,0,0,-902.0
model_based,hard,29,caught,560,57,7.7,29,0,13,0,-451.4
goal_based,hard,29,caught,470,56,7.59,34,0,17,5,-551.2
utility_based,hard,29,caught,500,48,6.6,31,0,6,4,-517.6
learning,hard,29,caught,720,60,8.14,33,1,18,3,-298.0
greedy,hard,29,caught,100,10,1.43,63,0,0,0,-902.0
random,hard,29,caught,130,22,2.97,60,0,9,6,-886.4
table_driven,hard,30,caught,70,10,1.35,66,0,3,1,-934.0
simple_reflex,hard,30,caught,140,14,1.98,59,0,0,0,-862.8
model_based,hard,30,caught,590,66,9.02,26,0,19,0,-423.2
goal_based,hard,30,caught,490,57,7.81,32,0,16,5,-531.4
utility_based,hard,30,caught,210,22,3.08,52,0,1,1,-796.4
learning,hard,30,caught,880,61,8.36,21,1,9,1,-134.2
greedy,hard,30,caught,140,14,1.98,59,0,0,0,-862.8
random,hard,30,caught,110,14,1.98,62,0,3,3,-898.8
